home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
arsenal,nottingham_forest,2023-08-12,low,2,1,win,13:00:00,False
arsenal,fulham,2023-08-26,low,2,2,draw,15:00:00,False
arsenal,manchester_united,2023-09-03,medium,3,1,win,16:30:00,False
arsenal,tottenham_hotspur,2023-09-24,high,2,2,draw,14:00:00,True
arsenal,manchester_city,2023-10-08,medium,1,0,win,16:30:00,False
arsenal,sheffield_united,2023-10-28,,5,0,win,15:00:00,False
arsenal,burnley,2023-11-11,,3,1,win,15:00:00,False
arsenal,wolverhampton_wanderers,2023-12-02,low,2,1,win,15:00:00,False
arsenal,brighton_and_hove_albion,2023-12-17,low,2,0,win,14:00:00,False
arsenal,west_ham_united,2023-12-28,medium,0,2,loss,20:15:00,False
arsenal,crystal_palace,2024-01-20,medium,5,0,win,12:30:00,False
arsenal,liverpool,2024-02-04,low,3,1,win,16:30:00,False
arsenal,newcastle_united,2024-02-24,low,4,1,win,20:00:00,False
arsenal,brentford,2024-03-09,,2,1,win,17:30:00,False
arsenal,luton_town,2024-04-03,,2,0,win,19:30:00,False
arsenal,aston_villa,2024-04-14,,0,2,loss,16:30:00,False
arsenal,chelsea,2024-04-23,,5,0,win,20:00:00,True
arsenal,afc_bournemouth,2024-05-04,,3,0,win,12:30:00,False
arsenal,everton,2024-05-19,,2,1,win,16:00:00,False
arsenal,wolverhampton_wanderers,2024-08-17,low,2,0,win,15:00:00,False
arsenal,brighton_and_hove_albion,2024-08-31,low,1,1,draw,12:30:00,False
arsenal,leicester_city,2024-09-28,low,4,2,win,15:00:00,False
arsenal,southampton,2024-10-05,low,3,1,win,15:00:00,False
arsenal,liverpool,2024-10-27,medium,2,2,draw,16:30:00,False
arsenal,nottingham_forest,2024-11-23,low,3,0,win,15:00:00,False
arsenal,manchester_united,2024-12-04,medium,2,0,win,20:15:00,False
arsenal,everton,2024-12-14,low,0,0,draw,15:00:00,False
arsenal,ipswich_town,2024-12-27,low,1,0,win,20:15:00,False
arsenal,tottenham_hotspur,2025-01-15,high,2,1,win,20:00:00,True
arsenal,aston_villa,2025-01-18,medium,2,2,draw,17:30:00,False
arsenal,manchester_city,2025-02-02,medium,5,1,win,16:30:00,False
arsenal,west_ham_united,2025-02-22,low,0,1,loss,15:00:00,False
arsenal,chelsea,2025-03-16,high,1,0,win,13:00:00,True
arsenal,fulham,2025-04-01,medium,2,1,win,19:45:00,False
arsenal,brentford,2025-04-12,medium,1,1,draw,17:30:00,False
arsenal,crystal_palace,2025-04-23,low,2,2,draw,20:00:00,False
arsenal,afc_bournemouth,2025-05-03,low,1,2,loss,17:30:00,False
arsenal,newcastle_united,2025-05-18,low,1,0,win,16:30:00,False
