home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
afc_bournemouth,west_ham_united,2023-08-12,,1,1,draw,15:00:00,False
afc_bournemouth,tottenham_hotspur,2023-08-26,,0,2,loss,12:30:00,False
afc_bournemouth,chelsea,2023-09-17,,0,0,draw,14:00:00,False
afc_bournemouth,arsenal,2023-09-30,,0,4,loss,15:00:00,False
afc_bournemouth,wolverhampton_wanderers,2023-10-21,low,1,2,loss,15:00:00,False
afc_bournemouth,burnley,2023-10-28,,2,1,win,15:00:00,False
afc_bournemouth,newcastle_united,2023-11-11,,2,0,win,17:30:00,False
afc_bournemouth,aston_villa,2023-12-03,,2,2,draw,14:00:00,False
afc_bournemouth,fulham,2023-12-26,,3,0,win,15:00:00,False
afc_bournemouth,liverpool,2024-01-21,,0,4,loss,16:30:00,False
afc_bournemouth,nottingham_forest,2024-02-04,,1,1,draw,14:00:00,False
afc_bournemouth,manchester_city,2024-02-24,,0,1,loss,17:30:00,False
afc_bournemouth,sheffield_united,2024-03-09,,2,2,draw,15:00:00,False
afc_bournemouth,luton_town,2024-03-13,,4,3,win,19:30:00,False
afc_bournemouth,everton,2024-03-30,,2,1,win,15:00:00,False
afc_bournemouth,crystal_palace,2024-04-02,,1,0,win,19:45:00,False
afc_bournemouth,manchester_united,2024-04-13,,2,2,draw,17:30:00,False
afc_bournemouth,brighton_and_hove_albion,2024-04-28,,3,0,win,14:00:00,False
afc_bournemouth,brentford,2024-05-11,,1,2,loss,15:00:00,False
afc_bournemouth,newcastle_united,2024-08-25,low,1,1,draw,14:00:00,False
afc_bournemouth,chelsea,2024-09-14,,0,1,loss,20:00:00,False
afc_bournemouth,southampton,2024-09-30,low,3,1,win,20:00:00,False
afc_bournemouth,arsenal,2024-10-19,low,2,0,win,17:30:00,False
afc_bournemouth,manchester_city,2024-11-02,,2,1,win,15:00:00,False
afc_bournemouth,brighton_and_hove_albion,2024-11-23,low,1,2,loss,15:00:00,False
afc_bournemouth,tottenham_hotspur,2024-12-05,low,1,0,win,20:15:00,False
afc_bournemouth,west_ham_united,2024-12-16,low,1,1,draw,20:00:00,False
afc_bournemouth,crystal_palace,2024-12-26,,0,0,draw,15:00:00,False
afc_bournemouth,everton,2025-01-04,,1,0,win,15:00:00,False
afc_bournemouth,nottingham_forest,2025-01-25,,5,0,win,15:00:00,False
afc_bournemouth,liverpool,2025-02-01,,0,2,loss,15:00:00,False
afc_bournemouth,wolverhampton_wanderers,2025-02-22,low,0,1,loss,15:00:00,False
afc_bournemouth,brentford,2025-03-15,,1,2,loss,17:30:00,False
afc_bournemouth,ipswich_town,2025-04-02,,1,2,loss,19:45:00,False
afc_bournemouth,fulham,2025-04-14,,1,0,win,20:00:00,False
afc_bournemouth,manchester_united,2025-04-27,low,1,1,draw,14:00:00,False
afc_bournemouth,aston_villa,2025-05-10,low,0,1,loss,17:30:00,False
afc_bournemouth,leicester_city,2025-05-25,low,2,0,win,16:00:00,False
