home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
brentford,tottenham_hotspur,2023-08-13,low,2,2,draw,14:00:00,False
brentford,crystal_palace,2023-08-26,low,1,1,draw,15:00:00,False
brentford,afc_bournemouth,2023-09-02,low,2,2,draw,15:00:00,False
brentford,everton,2023-09-23,medium,1,3,loss,17:30:00,False
brentford,burnley,2023-10-21,low,3,0,win,15:00:00,False
brentford,west_ham_united,2023-11-04,low,3,2,win,15:00:00,False
brentford,arsenal,2023-11-25,low,0,1,loss,17:30:00,False
brentford,luton_town,2023-12-02,low,3,1,win,15:00:00,False
brentford,aston_villa,2023-12-17,low,1,2,loss,14:00:00,False
brentford,wolverhampton_wanderers,2023-12-27,low,1,4,loss,19:30:00,False
brentford,nottingham_forest,2024-01-20,low,3,2,win,17:30:00,False
brentford,manchester_city,2024-02-05,low,1,3,loss,20:00:00,False
brentford,liverpool,2024-02-17,,1,4,loss,12:30:00,False
brentford,chelsea,2024-03-02,low,2,2,draw,15:00:00,False
brentford,manchester_united,2024-03-30,low,1,1,draw,20:00:00,False
brentford,brighton_and_hove_albion,2024-04-03,low,0,0,draw,19:30:00,False
brentford,sheffield_united,2024-04-13,low,2,0,win,15:00:00,False
brentford,fulham,2024-05-04,low,0,0,draw,15:00:00,False
brentford,newcastle_united,2024-05-19,low,2,4,loss,16:00:00,False
brentford,crystal_palace,2024-08-18,low,2,1,win,14:00:00,False
brentford,southampton,2024-08-31,low,3,1,win,15:00:00,False
brentford,west_ham_united,2024-09-28,low,1,1,draw,15:00:00,False
brentford,wolverhampton_wanderers,2024-10-05,low,5,3,win,15:00:00,False
brentford,ipswich_town,2024-10-26,,4,3,win,15:00:00,False
brentford,afc_bournemouth,2024-11-09,low,3,2,win,15:00:00,False
brentford,leicester_city,2024-11-30,,4,1,win,15:00:00,False
brentford,newcastle_united,2024-12-07,low,4,2,win,15:00:00,False
brentford,nottingham_forest,2024-12-21,,0,2,loss,15:00:00,False
brentford,arsenal,2024-12-29,low,1,3,loss,17:30:00,False
brentford,manchester_city,2025-01-14,low,2,2,draw,19:30:00,False
brentford,liverpool,2025-01-18,medium,0,2,loss,15:00:00,False
brentford,tottenham_hotspur,2025-02-02,low,0,2,loss,14:00:00,False
brentford,everton,2025-02-26,low,1,1,draw,19:30:00,False
brentford,aston_villa,2025-03-08,low,0,1,loss,17:30:00,False
brentford,chelsea,2025-04-06,low,0,0,draw,14:00:00,False
brentford,brighton_and_hove_albion,2025-04-19,low,4,2,win,15:00:00,False
brentford,manchester_united,2025-05-04,low,4,3,win,14:00:00,False
brentford,fulham,2025-05-18,medium,2,3,loss,15:00:00,False
