home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
brighton_and_hove_albion,luton_town,2023-08-12,medium,4,1,win,15:00:00,False
brighton_and_hove_albion,west_ham_united,2023-08-26,low,1,3,loss,17:30:00,False
brighton_and_hove_albion,newcastle_united,2023-09-02,,3,1,win,17:30:00,False
brighton_and_hove_albion,afc_bournemouth,2023-09-24,,3,1,win,14:00:00,False
brighton_and_hove_albion,liverpool,2023-10-08,,2,2,draw,14:00:00,False
brighton_and_hove_albion,fulham,2023-10-29,low,1,1,draw,14:00:00,False
brighton_and_hove_albion,sheffield_united,2023-11-12,low,1,1,draw,14:00:00,False
brighton_and_hove_albion,brentford,2023-12-06,low,2,1,win,19:30:00,False
brighton_and_hove_albion,burnley,2023-12-09,,1,1,draw,15:00:00,False
brighton_and_hove_albion,tottenham_hotspur,2023-12-28,low,4,2,win,19:30:00,False
brighton_and_hove_albion,wolverhampton_wanderers,2024-01-22,,0,0,draw,19:45:00,False
brighton_and_hove_albion,crystal_palace,2024-02-03,high,4,1,win,15:00:00,True
brighton_and_hove_albion,everton,2024-02-24,low,1,1,draw,15:00:00,False
brighton_and_hove_albion,nottingham_forest,2024-03-09,low,1,0,win,14:00:00,False
brighton_and_hove_albion,arsenal,2024-04-06,low,0,3,loss,17:30:00,False
brighton_and_hove_albion,manchester_city,2024-04-25,,0,4,loss,20:00:00,False
brighton_and_hove_albion,aston_villa,2024-05-05,low,1,0,win,14:00:00,False
brighton_and_hove_albion,chelsea,2024-05-15,low,1,2,loss,19:45:00,False
brighton_and_hove_albion,manchester_united,2024-05-19,low,0,2,loss,16:00:00,False
brighton_and_hove_albion,manchester_united,2024-08-24,low,2,1,win,12:30:00,False
brighton_and_hove_albion,ipswich_town,2024-09-14,low,0,0,draw,15:00:00,False
brighton_and_hove_albion,nottingham_forest,2024-09-22,low,2,2,draw,14:00:00,False
brighton_and_hove_albion,tottenham_hotspur,2024-10-06,low,3,2,win,16:30:00,False
brighton_and_hove_albion,wolverhampton_wanderers,2024-10-26,low,2,2,draw,15:00:00,False
brighton_and_hove_albion,manchester_city,2024-11-09,low,2,1,win,17:30:00,False
brighton_and_hove_albion,southampton,2024-11-29,low,1,1,draw,20:00:00,False
brighton_and_hove_albion,crystal_palace,2024-12-15,low,1,3,loss,14:00:00,True
brighton_and_hove_albion,brentford,2024-12-27,low,0,0,draw,19:30:00,False
brighton_and_hove_albion,arsenal,2025-01-04,low,1,1,draw,17:30:00,False
brighton_and_hove_albion,everton,2025-01-25,,0,1,loss,15:00:00,False
brighton_and_hove_albion,chelsea,2025-02-14,low,3,0,win,20:00:00,False
brighton_and_hove_albion,afc_bournemouth,2025-02-25,low,2,1,win,19:30:00,False
brighton_and_hove_albion,fulham,2025-03-08,low,2,1,win,15:00:00,False
brighton_and_hove_albion,aston_villa,2025-04-02,low,0,3,loss,19:45:00,False
brighton_and_hove_albion,leicester_city,2025-04-12,,2,2,draw,15:00:00,False
brighton_and_hove_albion,west_ham_united,2025-04-26,low,3,2,win,15:00:00,False
brighton_and_hove_albion,newcastle_united,2025-05-04,low,1,1,draw,14:00:00,False
brighton_and_hove_albion,liverpool,2025-05-19,low,3,2,win,20:00:00,False
