home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
chelsea,liverpool,2023-08-13,low,1,1,draw,16:30:00,False
chelsea,luton_town,2023-08-25,low,3,0,win,20:00:00,False
chelsea,nottingham_forest,2023-09-02,low,0,1,loss,15:00:00,False
chelsea,aston_villa,2023-09-24,low,0,1,loss,14:00:00,False
chelsea,arsenal,2023-10-21,medium,2,2,draw,17:30:00,True
chelsea,brentford,2023-10-28,,0,2,loss,12:30:00,False
chelsea,manchester_city,2023-11-12,low,4,4,draw,16:30:00,False
chelsea,brighton_and_hove_albion,2023-12-03,,3,2,win,14:00:00,False
chelsea,sheffield_united,2023-12-16,low,2,0,win,15:00:00,False
chelsea,crystal_palace,2023-12-27,,2,1,win,19:30:00,False
chelsea,fulham,2024-01-13,,1,0,win,12:30:00,False
chelsea,wolverhampton_wanderers,2024-02-04,,2,4,loss,14:00:00,False
chelsea,newcastle_united,2024-03-11,,3,2,win,20:00:00,False
chelsea,burnley,2024-03-30,,2,2,draw,15:00:00,False
chelsea,manchester_united,2024-04-04,medium,4,3,win,20:15:00,False
chelsea,everton,2024-04-15,low,6,0,win,20:00:00,False
chelsea,tottenham_hotspur,2024-05-02,,2,0,win,19:30:00,True
chelsea,west_ham_united,2024-05-05,medium,5,0,win,14:00:00,False
chelsea,afc_bournemouth,2024-05-19,,2,1,win,16:00:00,False
chelsea,manchester_city,2024-08-18,,0,2,loss,16:30:00,False
chelsea,crystal_palace,2024-09-01,low,1,1,draw,13:30:00,False
chelsea,brighton_and_hove_albion,2024-09-28,low,4,2,win,15:00:00,False
chelsea,nottingham_forest,2024-10-06,low,1,1,draw,14:00:00,False
chelsea,newcastle_united,2024-10-27,low,2,1,win,14:00:00,False
chelsea,arsenal,2024-11-10,low,1,1,draw,16:30:00,True
chelsea,aston_villa,2024-12-01,,3,0,win,13:30:00,False
chelsea,brentford,2024-12-15,medium,2,1,win,19:00:00,False
chelsea,fulham,2024-12-26,low,1,2,loss,15:00:00,False
chelsea,afc_bournemouth,2025-01-14,low,2,2,draw,19:30:00,False
chelsea,wolverhampton_wanderers,2025-01-20,low,3,1,win,20:00:00,False
chelsea,west_ham_united,2025-02-03,high,2,1,win,20:00:00,False
chelsea,southampton,2025-02-25,medium,4,0,win,20:15:00,False
chelsea,leicester_city,2025-03-09,low,1,0,win,14:00:00,False
chelsea,tottenham_hotspur,2025-04-03,low,1,0,win,20:00:00,True
chelsea,ipswich_town,2025-04-13,low,2,2,draw,14:00:00,False
chelsea,everton,2025-04-26,low,1,0,win,12:30:00,False
chelsea,liverpool,2025-05-04,medium,3,1,win,16:30:00,False
chelsea,manchester_united,2025-05-16,high,1,0,win,20:15:00,False
