home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
crystal_palace,arsenal,2023-08-21,,0,1,loss,20:00:00,False
crystal_palace,wolverhampton_wanderers,2023-09-03,low,3,2,win,14:00:00,False
crystal_palace,fulham,2023-09-23,low,0,0,draw,15:00:00,False
crystal_palace,nottingham_forest,2023-10-07,low,0,0,draw,17:30:00,False
crystal_palace,tottenham_hotspur,2023-10-27,low,1,2,loss,20:00:00,False
crystal_palace,everton,2023-11-11,low,2,3,loss,15:00:00,False
crystal_palace,afc_bournemouth,2023-12-06,low,0,2,loss,19:30:00,False
crystal_palace,liverpool,2023-12-09,low,1,2,loss,12:30:00,False
crystal_palace,brighton_and_hove_albion,2023-12-21,high,1,1,draw,20:00:00,True
crystal_palace,brentford,2023-12-30,,3,1,win,15:00:00,False
crystal_palace,sheffield_united,2024-01-30,,3,2,win,20:00:00,False
crystal_palace,chelsea,2024-02-12,,1,3,loss,20:00:00,False
crystal_palace,burnley,2024-02-24,,3,0,win,15:00:00,False
crystal_palace,luton_town,2024-03-09,,1,1,draw,15:00:00,False
crystal_palace,manchester_city,2024-04-06,,2,4,loss,12:30:00,False
crystal_palace,west_ham_united,2024-04-21,,5,2,win,15:00:00,False
crystal_palace,newcastle_united,2024-04-24,low,2,0,win,20:00:00,False
crystal_palace,manchester_united,2024-05-06,low,4,0,win,20:00:00,False
crystal_palace,aston_villa,2024-05-19,low,5,0,win,16:00:00,False
crystal_palace,west_ham_united,2024-08-24,medium,0,2,loss,15:00:00,False
crystal_palace,leicester_city,2024-09-14,low,2,2,draw,15:00:00,False
crystal_palace,manchester_united,2024-09-21,low,0,0,draw,17:30:00,False
crystal_palace,liverpool,2024-10-05,low,0,1,loss,12:30:00,False
crystal_palace,tottenham_hotspur,2024-10-27,low,1,0,win,14:00:00,False
crystal_palace,fulham,2024-11-09,low,0,2,loss,15:00:00,False
crystal_palace,newcastle_united,2024-11-30,low,1,1,draw,15:00:00,False
crystal_palace,manchester_city,2024-12-07,low,2,2,draw,15:00:00,False
crystal_palace,arsenal,2024-12-21,low,1,5,loss,17:30:00,False
crystal_palace,southampton,2024-12-29,low,2,1,win,15:00:00,False
crystal_palace,chelsea,2025-01-04,low,1,1,draw,15:00:00,False
crystal_palace,brentford,2025-01-26,,1,2,loss,14:00:00,False
crystal_palace,everton,2025-02-15,low,1,2,loss,17:30:00,False
crystal_palace,aston_villa,2025-02-25,,4,1,win,19:30:00,False
crystal_palace,ipswich_town,2025-03-08,,1,0,win,15:00:00,False
crystal_palace,brighton_and_hove_albion,2025-04-05,low,2,1,win,15:00:00,True
crystal_palace,afc_bournemouth,2025-04-19,low,0,0,draw,15:00:00,False
crystal_palace,nottingham_forest,2025-05-05,low,1,1,draw,20:00:00,False
crystal_palace,wolverhampton_wanderers,2025-05-20,low,4,2,win,20:00:00,False
