home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
everton,fulham,2023-08-12,low,0,1,loss,15:00:00,False
everton,wolverhampton_wanderers,2023-08-26,low,0,1,loss,15:00:00,False
everton,arsenal,2023-09-17,low,0,1,loss,16:30:00,False
everton,luton_town,2023-09-30,,1,2,loss,15:00:00,False
everton,afc_bournemouth,2023-10-07,,3,0,win,15:00:00,False
everton,brighton_and_hove_albion,2023-11-04,low,1,1,draw,15:00:00,False
everton,manchester_united,2023-11-26,medium,0,3,loss,16:30:00,False
everton,newcastle_united,2023-12-07,low,3,0,win,19:30:00,False
everton,chelsea,2023-12-10,,2,0,win,14:00:00,False
everton,manchester_city,2023-12-27,medium,1,3,loss,20:15:00,False
everton,aston_villa,2024-01-14,,0,0,draw,14:00:00,False
everton,tottenham_hotspur,2024-02-03,low,2,2,draw,12:30:00,False
everton,crystal_palace,2024-02-20,low,1,1,draw,20:00:00,False
everton,west_ham_united,2024-03-02,low,1,3,loss,15:00:00,False
everton,burnley,2024-04-06,,1,0,win,15:00:00,False
everton,nottingham_forest,2024-04-21,low,2,0,win,13:30:00,False
everton,liverpool,2024-04-24,,2,0,win,20:00:00,True
everton,brentford,2024-04-27,,1,0,win,17:30:00,False
everton,sheffield_united,2024-05-11,,1,0,win,15:00:00,False
everton,brighton_and_hove_albion,2024-08-17,low,0,3,loss,15:00:00,False
everton,afc_bournemouth,2024-08-31,low,2,3,loss,15:00:00,False
everton,crystal_palace,2024-09-28,low,2,1,win,15:00:00,False
everton,newcastle_united,2024-10-05,low,0,0,draw,17:30:00,False
everton,fulham,2024-10-26,low,1,1,draw,17:30:00,False
everton,brentford,2024-11-23,low,0,0,draw,15:00:00,False
everton,wolverhampton_wanderers,2024-12-04,,4,0,win,19:30:00,False
everton,chelsea,2024-12-22,low,0,0,draw,14:00:00,False
everton,nottingham_forest,2024-12-29,,0,2,loss,15:00:00,False
everton,aston_villa,2025-01-15,,0,1,loss,19:30:00,False
everton,tottenham_hotspur,2025-01-19,,3,2,win,14:00:00,False
everton,leicester_city,2025-02-01,medium,4,0,win,15:00:00,False
everton,liverpool,2025-02-12,high,2,2,draw,19:30:00,True
everton,manchester_united,2025-02-22,low,2,2,draw,12:30:00,False
everton,west_ham_united,2025-03-15,low,1,1,draw,15:00:00,False
everton,arsenal,2025-04-05,low,1,1,draw,12:30:00,False
everton,manchester_city,2025-04-19,low,0,2,loss,15:00:00,False
everton,ipswich_town,2025-05-03,low,2,2,draw,15:00:00,False
everton,southampton,2025-05-18,high,2,0,win,12:00:00,False
