home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
fulham,brentford,2023-08-19,,0,3,loss,15:00:00,False
fulham,luton_town,2023-09-16,,1,0,win,15:00:00,False
fulham,chelsea,2023-10-02,low,0,2,loss,20:00:00,False
fulham,sheffield_united,2023-10-07,,3,1,win,15:00:00,False
fulham,manchester_united,2023-11-04,low,0,1,loss,12:30:00,False
fulham,wolverhampton_wanderers,2023-11-27,,3,2,win,20:00:00,False
fulham,nottingham_forest,2023-12-06,,5,0,win,19:30:00,False
fulham,west_ham_united,2023-12-10,,5,0,win,14:00:00,False
fulham,burnley,2023-12-23,low,0,2,loss,15:00:00,False
fulham,arsenal,2023-12-31,,2,1,win,14:00:00,False
fulham,everton,2024-01-30,low,0,0,draw,19:45:00,False
fulham,afc_bournemouth,2024-02-10,,3,1,win,15:00:00,False
fulham,aston_villa,2024-02-17,low,1,2,loss,15:00:00,False
fulham,brighton_and_hove_albion,2024-03-02,,3,0,win,15:00:00,False
fulham,tottenham_hotspur,2024-03-16,,3,0,win,17:30:00,False
fulham,newcastle_united,2024-04-06,,0,1,loss,15:00:00,False
fulham,liverpool,2024-04-21,,1,3,loss,16:30:00,False
fulham,crystal_palace,2024-04-27,low,1,1,draw,15:00:00,False
fulham,leicester_city,2024-08-24,low,0,4,loss,12:30:00,False
fulham,west_ham_united,2024-09-14,,2,1,win,15:00:00,False
fulham,newcastle_united,2024-09-21,low,1,1,draw,15:00:00,False
fulham,aston_villa,2024-10-19,low,3,1,win,15:00:00,False
fulham,brentford,2024-11-04,medium,1,3,loss,15:00:00,False
fulham,wolverhampton_wanderers,2024-11-23,,2,1,win,20:00:00,False
fulham,brighton_and_hove_albion,2024-12-05,low,1,4,loss,15:00:00,False
fulham,arsenal,2024-12-08,,3,1,win,19:30:00,False
fulham,southampton,2024-12-22,,1,1,draw,14:00:00,False
fulham,afc_bournemouth,2024-12-29,,0,0,draw,14:00:00,False
fulham,ipswich_town,2025-01-05,low,2,2,draw,15:00:00,False
fulham,manchester_united,2025-01-26,low,2,2,draw,14:00:00,False
fulham,nottingam_forest,2025-02-15,,0,1,loss,19:00:00,False
fulham,crystal_palace,2025-02-22,,2,1,win,15:00:00,False
fulham,tottenham_hotspur,2025-03-16,low,0,2,loss,15:00:00,False
fulham,liverpool,2025-04-06,low,2,0,win,13:30:00,False
fulham,chelsea,2025-04-20,low,3,2,win,14:00:00,False
fulham,everton,2025-05-10,,1,2,loss,15:00:00,False
fulham,manchester_city,2025-05-11,,1,3,loss,15:00:00,False
fulham,manchester_city,2025-05-25,,0,2,loss,16:00:00,False
