home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
liverpool,afc_bournemouth,2023-08-19,low,3,1,win,15:00:00,False
liverpool,aston_villa,2023-09-03,low,3,0,win,14:00:00,False
liverpool,west_ham_united,2023-09-23,low,3,1,win,14:00:00,False
liverpool,everton,2023-10-21,medium,2,0,win,12:30:00,True
liverpool,nottingham_forest,2023-10-29,low,3,0,win,14:00:00,False
liverpool,brentford,2023-11-12,low,3,0,win,14:00:00,False
liverpool,fulham,2023-12-03,,4,3,win,14:00:00,False
liverpool,manchester_united,2023-12-17,medium,0,0,draw,16:30:00,False
liverpool,arsenal,2023-12-23,,1,1,draw,17:30:00,False
liverpool,newcastle_united,2024-01-01,medium,4,2,win,20:00:00,False
liverpool,chelsea,2024-01-31,,4,1,win,20:15:00,False
liverpool,burnley,2024-02-10,,3,1,win,15:00:00,False
liverpool,luton_town,2024-02-21,,4,1,win,19:30:00,False
liverpool,manchester_city,2024-03-10,,1,1,draw,15:45:00,False
liverpool,brighton_and_hove_albion,2024-03-31,low,2,1,win,14:00:00,False
liverpool,sheffield_united,2024-04-04,,3,1,win,19:30:00,False
liverpool,crystal_palace,2024-04-14,,0,1,loss,14:00:00,False
liverpool,tottenham_hotspur,2024-05-05,,4,2,win,16:30:00,False
liverpool,wolverhampton_wanderers,2024-05-19,,2,0,win,16:00:00,False
liverpool,brentford,2024-08-25,low,2,0,win,16:30:00,False
liverpool,nottingham_forest,2024-09-14,medium,0,1,loss,15:00:00,False
liverpool,afc_bournemouth,2024-09-21,low,3,0,win,15:00:00,False
liverpool,chelsea,2024-10-20,medium,2,1,win,16:30:00,False
liverpool,brighton_and_hove_albion,2024-11-02,,2,1,win,15:00:00,False
liverpool,aston_villa,2024-11-09,medium,2,0,win,20:00:00,False
liverpool,manchester_city,2024-12-01,high,2,0,win,16:00:00,False
liverpool,fulham,2024-12-14,,2,2,draw,15:00:00,False
liverpool,leicester_city,2024-12-26,low,3,1,win,20:00:00,False
liverpool,manchester_united,2025-01-05,high,2,2,draw,16:30:00,False
liverpool,ipswich_town,2025-01-25,,4,1,win,15:00:00,False
liverpool,wolverhampton_wanderers,2025-02-16,,2,1,win,14:00:00,False
liverpool,newcastle_united,2025-02-26,low,2,0,win,20:15:00,False
liverpool,southampton,2025-03-08,low,3,1,win,15:00:00,False
liverpool,everton,2025-04-02,medium,1,0,win,20:00:00,True
liverpool,west_ham_united,2025-04-13,low,2,1,win,14:00:00,False
liverpool,tottenham_hotspur,2025-04-27,high,5,1,win,16:30:00,False
liverpool,arsenal,2025-05-11,low,2,2,draw,16:30:00,False
liverpool,crystal_palace,2025-05-25,medium,1,1,draw,16:00:00,False
