home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
newcastle_united,aston_villa,2023-08-12,low,5,1,win,17:30:00,False
newcastle_united,liverpool,2023-08-27,low,1,2,loss,16:30:00,False
newcastle_united,brentford,2023-09-16,,1,0,win,17:30:00,False
newcastle_united,burnley,2023-09-30,low,2,0,win,15:00:00,False
newcastle_united,crystal_palace,2023-10-21,,4,0,win,15:00:00,False
newcastle_united,arsenal,2023-11-04,low,1,0,win,17:30:00,False
newcastle_united,chelsea,2023-11-25,low,4,1,win,15:00:00,False
newcastle_united,manchester_united,2023-12-02,,1,0,win,20:00:00,False
newcastle_united,fulham,2023-12-16,,3,0,win,15:00:00,False
newcastle_united,nottingham_forest,2023-12-26,,1,3,loss,12:30:00,False
newcastle_united,manchester_city,2024-01-13,low,2,3,loss,17:30:00,False
newcastle_united,luton_town,2024-02-03,,4,4,draw,15:00:00,False
newcastle_united,afc_bournemouth,2024-02-17,,2,2,draw,15:00:00,False
newcastle_united,wolverhampton_wanderers,2024-03-02,low,3,0,win,15:00:00,False
newcastle_united,west_ham_united,2024-03-30,,4,3,win,12:30:00,False
newcastle_united,everton,2024-04-02,low,1,1,draw,19:30:00,False
newcastle_united,tottenham_hotspur,2024-04-13,,4,0,win,12:30:00,False
newcastle_united,sheffield_united,2024-04-27,,5,1,win,15:00:00,False
newcastle_united,brighton_and_hove_albion,2024-05-11,,1,1,draw,15:00:00,False
newcastle_united,southampton,2024-08-17,,1,0,win,15:00:00,False
newcastle_united,tottenham_hotspur,2024-09-01,,2,1,win,13:30:00,False
newcastle_united,manchester_city,2024-09-28,,1,1,draw,12:30:00,False
newcastle_united,brighton_and_hove_albion,2024-10-19,,0,1,loss,15:00:00,False
newcastle_united,arsenal,2024-11-02,,1,0,win,12:30:00,False
newcastle_united,west_ham_united,2024-11-25,low,0,2,loss,20:00:00,False
newcastle_united,liverpool,2024-12-04,,3,3,draw,19:30:00,False
newcastle_united,leicester_city,2024-12-14,low,4,0,win,15:00:00,False
newcastle_united,aston_villa,2024-12-26,low,3,0,win,15:00:00,False
newcastle_united,wolverhampton_wanderers,2025-01-15,low,3,0,win,19:30:00,False
newcastle_united,afc_bournemouth,2025-01-18,,1,4,loss,12:30:00,False
newcastle_united,fulham,2025-02-01,low,1,2,loss,15:00:00,False
newcastle_united,nottingham_forest,2025-02-23,,4,3,win,14:00:00,False
newcastle_united,brentford,2025-04-02,,2,1,win,19:45:00,False
newcastle_united,manchester_united,2025-04-13,medium,4,1,win,16:30:00,False
newcastle_united,crystal_palace,2025-04-16,low,5,0,win,19:30:00,False
newcastle_united,ipswich_town,2025-04-26,low,3,0,win,15:00:00,False
newcastle_united,chelsea,2025-05-11,low,2,0,win,12:00:00,False
newcastle_united,everton,2025-05-25,medium,0,1,loss,16:00:00,False
