home_team,away_team,date,disorder_level,home_score,away_score,result,kickoff,derby
nottingham_forest,sheffield_united,2023-08-18,high,2,1,win,19:45:00,False
nottingham_forest,burnley,2023-09-18,,1,1,draw,19:45:00,False
nottingham_forest,brentford,2023-10-01,low,1,1,draw,14:00:00,False
nottingham_forest,luton_town,2023-10-21,low,2,2,draw,15:00:00,False
nottingham_forest,aston_villa,2023-11-05,low,2,0,win,14:00:00,False
nottingham_forest,brighton_and_hove_albion,2023-11-25,low,2,3,loss,15:00:00,False
nottingham_forest,everton,2023-12-02,low,0,1,loss,17:30:00,False
nottingham_forest,tottenham_hotspur,2023-12-15,medium,0,2,loss,20:00:00,False
nottingham_forest,afc_bournemouth,2023-12-23,,2,3,loss,15:00:00,False
nottingham_forest,manchester_united,2023-12-30,medium,2,1,win,17:30:00,False
nottingham_forest,arsenal,2024-01-30,low,1,2,loss,19:30:00,False
nottingham_forest,newcastle_united,2024-02-10,low,2,3,loss,17:30:00,False
nottingham_forest,west_ham_united,2024-02-17,low,2,0,win,15:00:00,False
nottingham_forest,liverpool,2024-03-02,,0,1,loss,15:00:00,False
nottingham_forest,crystal_palace,2024-03-30,,1,1,draw,15:00:00,False
nottingham_forest,fulham,2024-04-02,,3,1,win,19:30:00,False
nottingham_forest,wolverhampton_wanderers,2024-04-13,low,2,2,draw,15:00:00,False
nottingham_forest,manchester_city,2024-04-28,,0,2,loss,16:30:00,False
nottingham_forest,chelsea,2024-05-11,medium,2,3,loss,17:30:00,False
nottingham_forest,afc_bournemouth,2024-08-17,low,1,1,draw,15:00:00,False
nottingham_forest,wolverhampton_wanderers,2024-08-31,low,1,1,draw,15:00:00,False
nottingham_forest,fulham,2024-09-28,low,0,1,loss,15:00:00,False
nottingham_forest,crystal_palace,2024-10-21,low,1,0,win,20:00:00,False
nottingham_forest,west_ham_united,2024-11-02,low,3,0,win,15:00:00,False
nottingham_forest,newcastle_united,2024-11-10,low,1,3,loss,14:00:00,False
nottingham_forest,ipswich_town,2024-11-30,low,1,0,win,15:00:00,False
nottingham_forest,aston_villa,2024-12-14,low,2,1,win,17:30:00,False
nottingham_forest,tottenham_hotspur,2024-12-26,low,1,0,win,15:00:00,False
nottingham_forest,liverpool,2025-01-14,low,1,1,draw,20:00:00,False
nottingham_forest,southampton,2025-01-19,,3,2,win,14:00:00,False
nottingham_forest,brighton_and_hove_albion,2025-02-01,,7,0,win,12:30:00,False
nottingham_forest,arsenal,2025-02-25,low,0,0,draw,19:30:00,False
nottingham_forest,manchester_city,2025-03-08,low,1,0,win,12:30:00,False
nottingham_forest,manchester_united,2025-04-01,medium,1,0,win,20:00:00,False
nottingham_forest,everton,2025-04-12,medium,0,1,loss,15:00:00,False
nottingham_forest,brentford,2025-05-01,,0,2,loss,19:30:00,False
nottingham_forest,leicester_city,2025-05-11,medium,2,2,draw,14:15:00,False
nottingham_forest,chelsea,2025-05-25,medium,0,1,loss,16:00:00,False
